Student,Degree,Role,Thesis Title,Graduated
"Sebatjane, P.",PhD,Primary supervisor,Biplots for Compositional Data,
"Buys, R",PhD,Primary supervisor,Biplots in Machine Learning,
"Rowan, A.",PhD,Supervisor,Using biplots for locally faithful explainable artificial intelligence,
"Mostert, AG",PhD,Primary supervisor,Fault Diagnosis in Multivariate Statistical Process Monitoring,2021
"Ganey, R",PhD,Supervisor,Biplots based on Principal Surfaces,2020
"Nienkemper-Swanepoel, J",PhD,Co-supervisor,Biplot methodology for analysing and evaluating missing multivariate nominal scaled data,2019
"Oyedele, OVF",PhD,Supervisor,Constructing a Partial Least Squares Biplot,2014
